Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
1.56,0.0262,0.0018,,,,,,,,,,,,,,,
1.58,0.0267,0.0022,,,,,,,,,,,,,,,
1.6,0.0269,0.0006,,,,,,,,,,,,,,,
1.62,0.0273,-0.0007,,,,,,,,,,,,,,,
1.64,0.0277,0.0003,,,,,,,,,,,,,,,
1.66,0.0279,0.0013,,,,,,,,,,,,,,,
1.68,0.0283,0.0011,,,,,,,,,,,,,,,
1.7,0.0285,0.0013,,,,,,,,,,,,,,,
1.72,0.029,0.0006,,,,,,,,,,,,,,,
1.74,0.0292,0.0009,,,,,,,,,,,,,,,
1.76,0.0294,0.0029,,,,,,,,,,,,,,,
1.78,0.0298,0.0008,,,,,,,,,,,,,,,
1.8,0.0302,0.001,,,,,,,,,,,,,,,
1.82,0.0304,0.001,,,,,,,,,,,,,,,
1.84,0.0308,0.0009,,,,,,,,,,,,,,,
1.86,0.031,0.0012,,,,,,,,,,,,,,,
1.88,0.0315,0.0003,,,,,,,,,,,,,,,
1.9,0.0319,0.0011,,,,,,,,,,,,,,,
1.92,0.0323,0.0022,,,,,,,,,,,,,,,
1.94,0.0327,0.0011,,,,,,,,,,,,,,,
1.96,0.0329,0.0018,,,,,,,,,,,,,,,
1.98,0.0333,0.0006,,,,,,,,,,,,,,,
2,0.0335,0.0002,,,,,,,,,,,,,,,
2.02,0.034,0.0016,,,,,,,,,,,,,,,
2.04,0.0344,0.0002,,,,,,,,,,,,,,,
2.06,0.0346,0.0008,,,,,,,,,,,,,,,
2.08,0.035,0.0015,,,,,,,,,,,,,,,
2.1,0.0352,0.0011,,,,,,,,,,,,,,,
2.12,0.0356,0.0022,,,,,,,,,,,,,,,
2.14,0.0358,0.0015,,,,,,,,,,,,,,,
2.16,0.0362,0.0001,,,,,,,,,,,,,,,
2.18,0.0365,0.0026,,,,,,,,,,,,,,,
2.2,0.0369,0.0008,,,,,,,,,,,,,,,
2.22,0.0371,-0.0002,,,,,,,,,,,,,,,
2.24,0.0375,0.0017,,,,,,,,,,,,,,,
2.26,0.0377,0.0004,,,,,,,,,,,,,,,
2.28,0.0379,0.0017,,,,,,,,,,,,,,,
2.3,0.0383,0.0013,,,,,,,,,,,,,,,
2.32,0.0385,0.0007,,,,,,,,,,,,,,,
2.34,0.039,0.0018,,,,,,,,,,,,,,,
2.36,0.0392,0.0009,,,,,,,,,,,,,,,
2.38,0.0396,0.0015,,,,,,,,,,,,,,,
2.4,0.0398,0.0013,,,,,,,,,,,,,,,
2.42,0.0402,0.0007,,,,,,,,,,,,,,,
2.44,0.0406,0.0009,,,,,,,,,,,,,,,
2.46,0.0408,0.0014,,,,,,,,,,,,,,,
2.48,0.0412,0.0019,,,,,,,,,,,,,,,
2.5,0.0415,0.0011,,,,,,,,,,,,,,,
2.52,0.0419,0.0011,,,,,,,,,,,,,,,
2.54,0.0423,0.0015,,,,,,,,,,,,,,,
2.56,0.0425,0.0024,,,,,,,,,,,,,,,
2.58,0.0429,0.0014,,,,,,,,,,,,,,,
2.6,0.0433,0.0013,,,,,,,,,,,,,,,
2.62,0.0435,0.0012,,,,,,,,,,,,,,,
2.64,0.044,0.0001,,,,,,,,,,,,,,,
2.66,0.0444,0.0019,,,,,,,,,,,,,,,
2.68,0.0446,0.0016,,,,,,,,,,,,,,,
2.7,0.045,0.0006,,,,,,,,,,,,,,,
2.72,0.0452,0.0032,,,,,,,,,,,,,,,
2.74,0.0456,0.0019,,,,,,,,,,,,,,,
2.76,0.0458,0.0011,,,,,,,,,,,,,,,
2.78,0.0462,0.0012,,,,,,,,,,,,,,,
2.8,0.0467,0.0011,,,,,,,,,,,,,,,
2.82,0.0469,0.0012,,,,,,,,,,,,,,,
2.84,0.0473,0.0014,,,,,,,,,,,,,,,
2.86,0.0475,0.002,,,,,,,,,,,,,,,
2.88,0.0479,0.0017,,,,,,,,,,,,,,,
2.9,0.0481,0.0016,,,,,,,,,,,,,,,
2.92,0.0485,0.0012,,,,,,,,,,,,,,,
2.94,0.0487,0.0023,,,,,,,,,,,,,,,
2.96,0.0492,0.0014,,,,,,,,,,,,,,,
2.98,0.0494,0.0027,,,,,,,,,,,,,,,
3,0.0498,0.0027,,,,,,,,,,,,,,,
3.02,0.0502,0.0007,,,,,,,,,,,,,,,
3.04,0.0506,0.0019,,,,,,,,,,,,,,,
3.06,0.0508,0.0013,,,,,,,,,,,,,,,
3.08,0.0512,0.0014,,,,,,,,,,,,,,,
3.1,0.0517,0.002,,,,,,,,,,,,,,,
3.12,0.0519,0.0022,,,,,,,,,,,,,,,
3.14,0.0523,0.0023,,,,,,,,,,,,,,,
3.16,0.0527,0.0026,,,,,,,,,,,,,,,
3.18,0.0529,0.0017,,,,,,,,,,,,,,,
3.2,0.0533,0.0006,,,,,,,,,,,,,,,
3.22,0.0535,0.0007,,,,,,,,,,,,,,,
3.24,0.054,0.0013,,,,,,,,,,,,,,,
3.26,0.0544,0.003,,,,,,,,,,,,,,,
3.28,0.0548,0.002,,,,,,,,,,,,,,,
3.3,0.055,0.0019,,,,,,,,,,,,,,,
3.32,0.0554,0.0039,,,,,,,,,,,,,,,
3.34,0.0558,0.0009,,,,,,,,,,,,,,,
3.36,0.056,0.002,,,,,,,,,,,,,,,
3.38,0.0565,0.0028,,,,,,,,,,,,,,,
3.4,0.0569,0.0005,,,,,,,,,,,,,,,
3.42,0.0571,0.0022,,,,,,,,,,,,,,,
3.44,0.0575,0.0015,,,,,,,,,,,,,,,
3.46,0.0579,0.001,,,,,,,,,,,,,,,
3.48,0.0581,0.0033,,,,,,,,,,,,,,,
3.5,0.0585,0.0024,,,,,,,,,,,,,,,
3.52,0.0587,0.0017,,,,,,,,,,,,,,,
3.54,0.0592,0.002,,,,,,,,,,,,,,,
3.56,0.0596,0.0019,,,,,,,,,,,,,,,
3.58,0.06,0.0012,,,,,,,,,,,,,,,
3.6,0.0602,0.001,,,,,,,,,,,,,,,
3.62,0.0606,0.0009,,,,,,,,,,,,,,,
3.64,0.0608,0.0013,,,,,,,,,,,,,,,
3.66,0.0612,0.0019,,,,,,,,,,,,,,,
3.68,0.0617,0.0012,,,,,,,,,,,,,,,
3.7,0.0619,0.0016,,,,,,,,,,,,,,,
3.72,0.0623,0.0006,,,,,,,,,,,,,,,
3.74,0.0627,0.0024,,,,,,,,,,,,,,,
3.76,0.0629,0.002,,,,,,,,,,,,,,,
3.78,0.0633,0.0004,,,,,,,,,,,,,,,
3.8,0.0637,0.0021,,,,,,,,,,,,,,,
3.82,0.064,0.0005,,,,,,,,,,,,,,,
3.84,0.0644,0.0014,,,,,,,,,,,,,,,
3.86,0.0646,0.002,,,,,,,,,,,,,,,
3.88,0.065,0.001,,,,,,,,,,,,,,,
3.9,0.0652,0.0011,,,,,,,,,,,,,,,
3.92,0.0656,0.0022,,,,,,,,,,,,,,,
3.94,0.066,0.0018,,,,,,,,,,,,,,,
3.96,0.0662,0.0025,,,,,,,,,,,,,,,
3.98,0.0667,0.0015,,,,,,,,,,,,,,,
4,0.0669,0.0013,,,,,,,,,,,,,,,
4.02,0.0673,0.0025,,,,,,,,,,,,,,,
4.04,0.0675,0.0021,,,,,,,,,,,,,,,
4.06,0.0679,0.0021,,,,,,,,,,,,,,,
4.08,0.0681,0.003,,,,,,,,,,,,,,,
4.1,0.0685,0.0014,,,,,,,,,,,,,,,
4.12,0.0687,0.0026,,,,,,,,,,,,,,,
4.14,0.0692,0.0016,,,,,,,,,,,,,,,
4.16,0.0696,0.0015,,,,,,,,,,,,,,,
4.18,0.0698,0.003,,,,,,,,,,,,,,,
4.2,0.0702,0.0011,,,,,,,,,,,,,,,
4.22,0.0706,0.0018,,,,,,,,,,,,,,,
4.24,0.0708,0.0024,,,,,,,,,,,,,,,
4.26,0.0712,0.0019,,,,,,,,,,,,,,,
4.28,0.0717,0.002,,,,,,,,,,,,,,,
4.3,0.0719,0.0014,,,,,,,,,,,,,,,
4.32,0.0723,0.0022,,,,,,,,,,,,,,,
4.34,0.0725,0.0015,,,,,,,,,,,,,,,
4.36,0.0729,0.0018,,,,,,,,,,,,,,,
4.38,0.0733,0.0023,,,,,,,,,,,,,,,
4.4,0.0735,0.0019,,,,,,,,,,,,,,,
4.42,0.074,0.0012,,,,,,,,,,,,,,,
4.44,0.0742,0.0013,,,,,,,,,,,,,,,
4.46,0.0746,0.0035,,,,,,,,,,,,,,,
4.48,0.075,0.0017,,,,,,,,,,,,,,,
4.5,0.0752,0.0032,,,,,,,,,,,,,,,
4.52,0.0754,0.0016,,,,,,,,,,,,,,,
4.54,0.0758,0.0015,,,,,,,,,,,,,,,
4.56,0.076,0.003,,,,,,,,,,,,,,,
4.58,0.0765,0.0019,,,,,,,,,,,,,,,
4.6,0.0767,0.0017,,,,,,,,,,,,,,,
4.62,0.0771,0.0028,,,,,,,,,,,,,,,
4.64,0.0773,0.0017,,,,,,,,,,,,,,,
4.66,0.0777,0.003,,,,,,,,,,,,,,,
4.68,0.0779,0.0029,,,,,,,,,,,,,,,
4.7,0.0783,0.0024,,,,,,,,,,,,,,,
4.72,0.0785,0.0033,,,,,,,,,,,,,,,
4.74,0.079,0.0025,,,,,,,,,,,,,,,
4.76,0.0792,0.0018,,,,,,,,,,,,,,,
4.78,0.0796,0.003,,,,,,,,,,,,,,,
4.8,0.0798,0.0022,,,,,,,,,,,,,,,
4.82,0.0802,0.0017,,,,,,,,,,,,,,,
4.84,0.0806,0.0027,,,,,,,,,,,,,,,
4.86,0.0808,0.0017,,,,,,,,,,,,,,,
4.88,0.0812,0.003,,,,,,,,,,,,,,,
4.9,0.0815,0.0016,,,,,,,,,,,,,,,
4.92,0.0819,0.0021,,,,,,,,,,,,,,,
4.94,0.0823,0.0028,,,,,,,,,,,,,,,
4.96,0.0825,0.0011,,,,,,,,,,,,,,,
4.98,0.0829,0.0027,,,,,,,,,,,,,,,
5,0.0831,0.0016,,,,,,,,,,,,,,,
5.02,0.0835,0.0022,,,,,,,,,,,,,,,
5.04,0.084,0.0036,,,,,,,,,,,,,,,
5.06,0.0842,0.0021,,,,,,,,,,,,,,,
5.08,0.0846,0.0029,,,,,,,,,,,,,,,
5.1,0.085,0.0032,,,,,,,,,,,,,,,
5.12,0.0852,0.0019,,,,,,,,,,,,,,,
5.14,0.0856,0.001,,,,,,,,,,,,,,,
5.16,0.0858,0.0032,,,,,,,,,,,,,,,
5.18,0.0862,0.0029,,,,,,,,,,,,,,,
5.2,0.0865,0.0027,,,,,,,,,,,,,,,
5.22,0.0869,0.0022,,,,,,,,,,,,,,,
5.24,0.0873,0.0019,,,,,,,,,,,,,,,
5.26,0.0875,0.0037,,,,,,,,,,,,,,,
5.28,0.0877,0.0022,,,,,,,,,,,,,,,
5.3,0.0881,0.0025,,,,,,,,,,,,,,,
5.32,0.0885,0.0028,,,,,,,,,,,,,,,
5.34,0.0887,0.0016,,,,,,,,,,,,,,,
5.36,0.0892,0.0022,,,,,,,,,,,,,,,
5.38,0.0896,0.0035,,,,,,,,,,,,,,,
5.4,0.0898,0.0028,,,,,,,,,,,,,,,
5.42,0.0902,0.0026,,,,,,,,,,,,,,,
5.44,0.0906,0.0016,,,,,,,,,,,,,,,
5.46,0.0908,0.0022,,,,,,,,,,,,,,,
5.48,0.0912,0.0024,,,,,,,,,,,,,,,
5.5,0.0915,0.0019,,,,,,,,,,,,,,,
5.52,0.0919,0.0025,,,,,,,,,,,,,,,
5.54,0.0923,0.0025,,,,,,,,,,,,,,,
5.56,0.0925,0.0028,,,,,,,,,,,,,,,
5.58,0.0929,0.0025,,,,,,,,,,,,,,,
5.6,0.0933,0.0021,,,,,,,,,,,,,,,
5.62,0.0935,0.0013,,,,,,,,,,,,,,,
5.64,0.0937,0.0026,,,,,,,,,,,,,,,
5.66,0.0942,0.0021,,,,,,,,,,,,,,,
5.68,0.0946,0.0034,,,,,,,,,,,,,,,
5.7,0.095,0.0024,,,,,,,,,,,,,,,
5.72,0.0952,0.0008,,,,,,,,,,,,,,,
5.74,0.0956,0.0022,,,,,,,,,,,,,,,
5.76,0.096,0.0021,,,,,,,,,,,,,,,
5.78,0.0962,0.0022,,,,,,,,,,,,,,,
5.8,0.0965,0.0031,,,,,,,,,,,,,,,
5.82,0.0969,0.0027,,,,,,,,,,,,,,,
5.84,0.0973,0.0021,,,,,,,,,,,,,,,
5.86,0.0977,0.0027,,,,,,,,,,,,,,,
5.88,0.0979,0.0024,,,,,,,,,,,,,,,
5.9,0.0983,0.001,,,,,,,,,,,,,,,
5.92,0.0985,0.0018,,,,,,,,,,,,,,,
5.94,0.099,0.0017,,,,,,,,,,,,,,,
5.96,0.0994,0.0026,,,,,,,,,,,,,,,
5.98,0.0996,0.0019,,,,,,,,,,,,,,,
6,0.1,0.0018,,,,,,,,,,,,,,,
6.02,0.1004,0.003,,,,,,,,,,,,,,,
6.04,0.1006,0.002,,,,,,,,,,,,,,,
6.06,0.101,0.0027,,,,,,,,,,,,,,,
6.08,0.1015,0.0036,,,,,,,,,,,,,,,
6.1,0.1017,0.0026,,,,,,,,,,,,,,,
6.12,0.1021,0.0027,,,,,,,,,,,,,,,
6.14,0.1025,0.001,,,,,,,,,,,,,,,
6.16,0.1027,0.0018,,,,,,,,,,,,,,,
6.18,0.1031,0.004,,,,,,,,,,,,,,,
6.2,0.1035,0.0027,,,,,,,,,,,,,,,
6.22,0.104,0.0033,,,,,,,,,,,,,,,
6.24,0.1042,0.0036,,,,,,,,,,,,,,,
6.26,0.1046,0.0027,,,,,,,,,,,,,,,
6.28,0.105,0.0022,,,,,,,,,,,,,,,
6.3,0.1052,0.0025,,,,,,,,,,,,,,,
6.32,0.1056,0.0025,,,,,,,,,,,,,,,
6.34,0.106,0.003,,,,,,,,,,,,,,,
6.36,0.1062,0.0022,,,,,,,,,,,,,,,
6.38,0.1067,0.0016,,,,,,,,,,,,,,,
6.4,0.1071,0.0034,,,,,,,,,,,,,,,
6.42,0.1073,0.0014,,,,,,,,,,,,,,,
6.44,0.1075,0.0037,,,,,,,,,,,,,,,
6.46,0.1079,0.0037,,,,,,,,,,,,,,,
6.48,0.1081,0.0027,,,,,,,,,,,,,,,
6.5,0.1085,0.0027,,,,,,,,,,,,,,,
6.52,0.1087,0.0025,,,,,,,,,,,,,,,
6.54,0.1092,0.0026,,,,,,,,,,,,,,,
6.56,0.1096,0.0029,,,,,,,,,,,,,,,
6.58,0.1098,0.0029,,,,,,,,,,,,,,,
6.6,0.11,0.0029,,,,,,,,,,,,,,,
6.62,0.1104,0.0033,,,,,,,,,,,,,,,
6.64,0.1108,0.0031,,,,,,,,,,,,,,,
6.66,0.1112,0.0028,,,,,,,,,,,,,,,
6.68,0.1115,0.0035,,,,,,,,,,,,,,,
6.7,0.1119,0.0029,,,,,,,,,,,,,,,
6.72,0.1123,0.0019,,,,,,,,,,,,,,,
6.74,0.1125,0.002,,,,,,,,,,,,,,,
6.76,0.1127,0.0034,,,,,,,,,,,,,,,
6.78,0.1131,0.0039,,,,,,,,,,,,,,,
6.8,0.1135,0.0013,,,,,,,,,,,,,,,
6.82,0.114,0.0021,,,,,,,,,,,,,,,
6.84,0.1142,0.0017,,,,,,,,,,,,,,,
6.86,0.1144,0.0018,,,,,,,,,,,,,,,
6.88,0.1148,0.0033,,,,,,,,,,,,,,,
6.9,0.1152,0.0013,,,,,,,,,,,,,,,
6.92,0.1154,0.0016,,,,,,,,,,,,,,,
6.94,0.1158,0.0034,,,,,,,,,,,,,,,
6.96,0.116,0.0033,,,,,,,,,,,,,,,
6.98,0.1165,0.0022,,,,,,,,,,,,,,,
7,0.1167,0.0027,,,,,,,,,,,,,,,
7.02,0.1171,0.0029,,,,,,,,,,,,,,,
7.04,0.1173,0.0033,,,,,,,,,,,,,,,
7.06,0.1177,0.004,,,,,,,,,,,,,,,
7.08,0.1179,0.0024,,,,,,,,,,,,,,,
7.1,0.1181,0.0033,,,,,,,,,,,,,,,
7.12,0.1185,0.0027,,,,,,,,,,,,,,,
7.14,0.119,0.0027,,,,,,,,,,,,,,,
7.16,0.1192,0.0029,,,,,,,,,,,,,,,
7.18,0.1196,0.0023,,,,,,,,,,,,,,,
7.2,0.1198,0.0042,,,,,,,,,,,,,,,
7.22,0.1202,0.0027,,,,,,,,,,,,,,,
7.24,0.1204,0.0032,,,,,,,,,,,,,,,
7.26,0.1208,0.0035,,,,,,,,,,,,,,,
7.28,0.121,0.0021,,,,,,,,,,,,,,,
7.3,0.1215,0.0025,,,,,,,,,,,,,,,
7.32,0.1219,0.0022,,,,,,,,,,,,,,,
7.34,0.1221,0.002,,,,,,,,,,,,,,,
7.36,0.1225,0.0033,,,,,,,,,,,,,,,
7.38,0.1227,0.0032,,,,,,,,,,,,,,,
7.4,0.1231,0.0034,,,,,,,,,,,,,,,
7.42,0.1235,0.0031,,,,,,,,,,,,,,,
7.44,0.1237,0.0024,,,,,,,,,,,,,,,
7.46,0.1242,0.0028,,,,,,,,,,,,,,,
7.48,0.1246,0.0038,,,,,,,,,,,,,,,
7.5,0.1248,0.003,,,,,,,,,,,,,,,
7.52,0.1252,0.0019,,,,,,,,,,,,,,,
7.54,0.1256,0.004,,,,,,,,,,,,,,,
7.56,0.1258,0.0026,,,,,,,,,,,,,,,
7.58,0.126,0.0038,,,,,,,,,,,,,,,
7.6,0.1265,0.0021,,,,,,,,,,,,,,,
7.62,0.1269,0.0029,,,,,,,,,,,,,,,
7.64,0.1271,0.0044,,,,,,,,,,,,,,,
7.66,0.1273,0.0017,,,,,,,,,,,,,,,
7.68,0.1277,0.0034,,,,,,,,,,,,,,,
7.7,0.1279,0.0033,,,,,,,,,,,,,,,
7.72,0.1283,0.0023,,,,,,,,,,,,,,,
7.74,0.1287,0.0036,,,,,,,,,,,,,,,
7.76,0.129,0.0027,,,,,,,,,,,,,,,
7.78,0.1294,0.0026,,,,,,,,,,,,,,,
7.8,0.1298,0.0034,,,,,,,,,,,,,,,
7.82,0.13,0.0033,,,,,,,,,,,,,,,
7.84,0.1304,0.003,,,,,,,,,,,,,,,
7.86,0.1308,0.0033,,,,,,,,,,,,,,,
7.88,0.131,0.0021,,,,,,,,,,,,,,,
7.9,0.1315,0.0032,,,,,,,,,,,,,,,
7.92,0.1319,0.0031,,,,,,,,,,,,,,,
7.94,0.1321,0.0019,,,,,,,,,,,,,,,
7.96,0.1325,0.0034,,,,,,,,,,,,,,,
7.98,0.1329,0.0032,,,,,,,,,,,,,,,
8,0.1331,0.0036,,,,,,,,,,,,,,,
8.02,0.1335,0.0022,,,,,,,,,,,,,,,
8.04,0.1337,0.0021,,,,,,,,,,,,,,,
8.06,0.1342,0.0037,,,,,,,,,,,,,,,
8.08,0.1346,0.0031,,,,,,,,,,,,,,,
8.1,0.135,0.0022,,,,,,,,,,,,,,,
8.12,0.1352,0.004,,,,,,,,,,,,,,,
8.14,0.1356,0.0024,,,,,,,,,,,,,,,
8.16,0.1358,0.0033,,,,,,,,,,,,,,,
8.18,0.1362,0.004,,,,,,,,,,,,,,,
8.2,0.1365,0.0031,,,,,,,,,,,,,,,
8.22,0.1369,0.0025,,,,,,,,,,,,,,,
8.24,0.1373,0.0044,,,,,,,,,,,,,,,
8.26,0.1375,0.0028,,,,,,,,,,,,,,,
8.28,0.1379,0.003,,,,,,,,,,,,,,,
8.3,0.1383,0.0035,,,,,,,,,,,,,,,
8.32,0.1385,0.0027,,,,,,,,,,,,,,,
8.34,0.1387,0.0045,,,,,,,,,,,,,,,
8.36,0.1392,0.0021,,,,,,,,,,,,,,,
8.38,0.1396,0.0035,,,,,,,,,,,,,,,
8.4,0.14,0.0035,,,,,,,,,,,,,,,
8.42,0.1402,0.0024,,,,,,,,,,,,,,,
8.44,0.1406,0.0037,,,,,,,,,,,,,,,
8.46,0.1408,0.0026,,,,,,,,,,,,,,,
8.48,0.1412,0.0034,,,,,,,,,,,,,,,
8.5,0.1417,0.0039,,,,,,,,,,,,,,,
8.52,0.1419,0.0035,,,,,,,,,,,,,,,
8.54,0.1423,0.0035,,,,,,,,,,,,,,,
8.56,0.1427,0.0034,,,,,,,,,,,,,,,
8.58,0.1429,0.0032,,,,,,,,,,,,,,,
8.6,0.1433,0.0041,,,,,,,,,,,,,,,
8.62,0.1437,0.0038,,,,,,,,,,,,,,,
8.64,0.1442,0.0024,,,,,,,,,,,,,,,
8.66,0.1444,0.0036,,,,,,,,,,,,,,,
8.68,0.1448,0.0034,,,,,,,,,,,,,,,
8.7,0.145,0.0031,,,,,,,,,,,,,,,
8.72,0.1454,0.0032,,,,,,,,,,,,,,,
8.74,0.1458,0.0028,,,,,,,,,,,,,,,
8.76,0.146,0.0035,,,,,,,,,,,,,,,
8.78,0.1462,0.004,,,,,,,,,,,,,,,
8.8,0.1467,0.0028,,,,,,,,,,,,,,,
8.82,0.1471,0.0036,,,,,,,,,,,,,,,
8.84,0.1473,0.0027,,,,,,,,,,,,,,,
8.86,0.1475,0.0036,,,,,,,,,,,,,,,
8.88,0.1479,0.0044,,,,,,,,,,,,,,,
8.9,0.1483,0.0028,,,,,,,,,,,,,,,
8.92,0.1485,0.0032,,,,,,,,,,,,,,,
8.94,0.149,0.0038,,,,,,,,,,,,,,,
8.96,0.1492,0.0045,,,,,,,,,,,,,,,
8.98,0.1496,0.0033,,,,,,,,,,,,,,,
9,0.1498,0.0042,,,,,,,,,,,,,,,
9.02,0.1502,0.0034,,,,,,,,,,,,,,,
9.04,0.1504,0.0036,,,,,,,,,,,,,,,
9.06,0.1508,0.0035,,,,,,,,,,,,,,,
9.08,0.1512,0.0025,,,,,,,,,,,,,,,
9.1,0.1517,0.0039,,,,,,,,,,,,,,,
9.12,0.1519,0.0031,,,,,,,,,,,,,,,
9.14,0.1523,0.0045,,,,,,,,,,,,,,,
9.16,0.1525,0.0034,,,,,,,,,,,,,,,
9.18,0.1529,0.0029,,,,,,,,,,,,,,,
9.2,0.1533,0.0039,,,,,,,,,,,,,,,
9.22,0.1535,0.0034,,,,,,,,,,,,,,,
9.24,0.154,0.0034,,,,,,,,,,,,,,,
9.26,0.1542,0.0042,,,,,,,,,,,,,,,
9.28,0.1546,0.0026,,,,,,,,,,,,,,,
9.3,0.1548,0.0037,,,,,,,,,,,,,,,
9.32,0.1552,0.004,,,,,,,,,,,,,,,
9.34,0.1554,0.003,,,,,,,,,,,,,,,
9.36,0.1558,0.004,,,,,,,,,,,,,,,
9.38,0.1562,0.0038,,,,,,,,,,,,,,,
9.4,0.1565,0.002,,,,,,,,,,,,,,,
9.42,0.1567,0.0031,,,,,,,,,,,,,,,
9.44,0.1571,0.0032,,,,,,,,,,,,,,,
9.46,0.1575,0.0034,,,,,,,,,,,,,,,
9.48,0.1577,0.0036,,,,,,,,,,,,,,,
9.5,0.1581,0.002,,,,,,,,,,,,,,,
9.52,0.1583,0.0043,,,,,,,,,,,,,,,
9.54,0.1587,0.0037,,,,,,,,,,,,,,,
