Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
1,CF-UN-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
4.02,0.0673,0.0011,,,,,,,,,,,,,,,
4.04,0.0677,0.0032,,,,,,,,,,,,,,,
4.06,0.0679,0.0025,,,,,,,,,,,,,,,
4.08,0.0683,0.0015,,,,,,,,,,,,,,,
4.1,0.0687,0.0019,,,,,,,,,,,,,,,
4.12,0.069,0.0015,,,,,,,,,,,,,,,
4.14,0.0692,0.0019,,,,,,,,,,,,,,,
4.16,0.0696,0.0019,,,,,,,,,,,,,,,
4.18,0.0698,0.0006,,,,,,,,,,,,,,,
4.2,0.0702,0.0018,,,,,,,,,,,,,,,
4.22,0.0704,0.0027,,,,,,,,,,,,,,,
4.24,0.0708,0.0022,,,,,,,,,,,,,,,
4.26,0.071,0.0028,,,,,,,,,,,,,,,
4.28,0.0715,0.0016,,,,,,,,,,,,,,,
4.3,0.0719,0.0021,,,,,,,,,,,,,,,
4.32,0.0721,0.0036,,,,,,,,,,,,,,,
4.34,0.0725,0.0018,,,,,,,,,,,,,,,
4.36,0.0729,0.0013,,,,,,,,,,,,,,,
4.38,0.0733,0.0014,,,,,,,,,,,,,,,
4.4,0.0735,0.0005,,,,,,,,,,,,,,,
4.42,0.074,0.0018,,,,,,,,,,,,,,,
4.44,0.0742,0.0012,,,,,,,,,,,,,,,
4.46,0.0746,0.0027,,,,,,,,,,,,,,,
4.48,0.0748,0.0034,,,,,,,,,,,,,,,
4.5,0.0752,0.0019,,,,,,,,,,,,,,,
4.52,0.0754,0.0023,,,,,,,,,,,,,,,
4.54,0.0758,0.0024,,,,,,,,,,,,,,,
4.56,0.076,0.0012,,,,,,,,,,,,,,,
4.58,0.0765,0.0012,,,,,,,,,,,,,,,
4.6,0.0769,0.0013,,,,,,,,,,,,,,,
4.62,0.0771,0.0018,,,,,,,,,,,,,,,
4.64,0.0773,0.0024,,,,,,,,,,,,,,,
4.66,0.0777,0.0016,,,,,,,,,,,,,,,
4.68,0.0779,0.0012,,,,,,,,,,,,,,,
4.7,0.0783,0.0029,,,,,,,,,,,,,,,
4.72,0.0785,0.0011,,,,,,,,,,,,,,,
4.74,0.079,0.0025,,,,,,,,,,,,,,,
4.76,0.0792,0.0024,,,,,,,,,,,,,,,
4.78,0.0796,0.0008,,,,,,,,,,,,,,,
4.8,0.0798,0.0023,,,,,,,,,,,,,,,
4.82,0.0802,0.0009,,,,,,,,,,,,,,,
4.84,0.0804,0.0026,,,,,,,,,,,,,,,
4.86,0.0808,0.003,,,,,,,,,,,,,,,
4.88,0.0812,0.0017,,,,,,,,,,,,,,,
4.9,0.0815,0.0028,,,,,,,,,,,,,,,
4.92,0.0819,0.0022,,,,,,,,,,,,,,,
4.94,0.0823,0.0013,,,,,,,,,,,,,,,
4.96,0.0825,0.0013,,,,,,,,,,,,,,,
4.98,0.0829,0.0003,,,,,,,,,,,,,,,
5,0.0831,0.0018,,,,,,,,,,,,,,,
5.02,0.0835,0.0022,,,,,,,,,,,,,,,
5.04,0.084,0.0023,,,,,,,,,,,,,,,
5.06,0.0842,0.0016,,,,,,,,,,,,,,,
5.08,0.0846,0.0028,,,,,,,,,,,,,,,
5.1,0.0848,0.0024,,,,,,,,,,,,,,,
5.12,0.0852,0.0016,,,,,,,,,,,,,,,
5.14,0.0856,0.0022,,,,,,,,,,,,,,,
5.16,0.0858,0.0017,,,,,,,,,,,,,,,
5.18,0.0862,0.0025,,,,,,,,,,,,,,,
5.2,0.0865,0.0006,,,,,,,,,,,,,,,
5.22,0.0869,0.0015,,,,,,,,,,,,,,,
5.24,0.0871,0.0022,,,,,,,,,,,,,,,
5.26,0.0875,0.0016,,,,,,,,,,,,,,,
5.28,0.0879,0.0036,,,,,,,,,,,,,,,
5.3,0.0881,0.0023,,,,,,,,,,,,,,,
5.32,0.0885,0.0012,,,,,,,,,,,,,,,
5.34,0.0887,0.0025,,,,,,,,,,,,,,,
5.36,0.0892,0.0011,,,,,,,,,,,,,,,
5.38,0.0896,0.0017,,,,,,,,,,,,,,,
5.4,0.0898,0.0023,,,,,,,,,,,,,,,
5.42,0.0902,0.0013,,,,,,,,,,,,,,,
5.44,0.0904,0.0022,,,,,,,,,,,,,,,
5.46,0.0908,0.0032,,,,,,,,,,,,,,,
5.48,0.0912,0.0016,,,,,,,,,,,,,,,
5.5,0.0915,0.0024,,,,,,,,,,,,,,,
5.52,0.0919,0.0015,,,,,,,,,,,,,,,
5.54,0.0923,0.0017,,,,,,,,,,,,,,,
5.56,0.0925,0.0028,,,,,,,,,,,,,,,
5.58,0.0929,0.001,,,,,,,,,,,,,,,
5.6,0.0933,0.0026,,,,,,,,,,,,,,,
5.62,0.0935,0.003,,,,,,,,,,,,,,,
5.64,0.094,0.002,,,,,,,,,,,,,,,
5.66,0.0944,0.0032,,,,,,,,,,,,,,,
5.68,0.0946,0.0021,,,,,,,,,,,,,,,
5.7,0.095,0.0024,,,,,,,,,,,,,,,
5.72,0.0952,0.003,,,,,,,,,,,,,,,
5.74,0.0956,0.0024,,,,,,,,,,,,,,,
5.76,0.096,0.0032,,,,,,,,,,,,,,,
5.78,0.0962,0.0027,,,,,,,,,,,,,,,
5.8,0.0967,0.0024,,,,,,,,,,,,,,,
5.82,0.0969,0.0015,,,,,,,,,,,,,,,
5.84,0.0973,0.0021,,,,,,,,,,,,,,,
5.86,0.0975,0.002,,,,,,,,,,,,,,,
5.88,0.0979,0.0031,,,,,,,,,,,,,,,
5.9,0.0981,0.0029,,,,,,,,,,,,,,,
5.92,0.0985,0.0023,,,,,,,,,,,,,,,
5.94,0.099,0.0039,,,,,,,,,,,,,,,
5.96,0.0994,0.0012,,,,,,,,,,,,,,,
5.98,0.0996,0.0028,,,,,,,,,,,,,,,
6,0.1,0.0025,,,,,,,,,,,,,,,
6.02,0.1004,0.0011,,,,,,,,,,,,,,,
6.04,0.1008,0.0034,,,,,,,,,,,,,,,
6.06,0.101,0.0027,,,,,,,,,,,,,,,
6.08,0.1015,0.0016,,,,,,,,,,,,,,,
6.1,0.1019,0.0024,,,,,,,,,,,,,,,
6.12,0.1021,0.0017,,,,,,,,,,,,,,,
6.14,0.1025,0.0027,,,,,,,,,,,,,,,
6.16,0.1029,0.0024,,,,,,,,,,,,,,,
6.18,0.1033,0.0007,,,,,,,,,,,,,,,
6.2,0.1035,0.0019,,,,,,,,,,,,,,,
6.22,0.104,0.003,,,,,,,,,,,,,,,
6.24,0.1042,0.0023,,,,,,,,,,,,,,,
6.26,0.1046,0.0021,,,,,,,,,,,,,,,
6.28,0.105,0.0022,,,,,,,,,,,,,,,
6.3,0.1052,0.0027,,,,,,,,,,,,,,,
6.32,0.1056,0.0029,,,,,,,,,,,,,,,
6.34,0.1058,0.0027,,,,,,,,,,,,,,,
6.36,0.1062,0.0037,,,,,,,,,,,,,,,
6.38,0.1067,0.0021,,,,,,,,,,,,,,,
6.4,0.1069,0.0021,,,,,,,,,,,,,,,
6.42,0.1073,0.0036,,,,,,,,,,,,,,,
6.44,0.1075,0.0018,,,,,,,,,,,,,,,
6.46,0.1079,0.0029,,,,,,,,,,,,,,,
6.48,0.1081,0.0038,,,,,,,,,,,,,,,
6.5,0.1085,0.0024,,,,,,,,,,,,,,,
6.52,0.109,0.0033,,,,,,,,,,,,,,,
6.54,0.1092,0.002,,,,,,,,,,,,,,,
6.56,0.1094,0.0028,,,,,,,,,,,,,,,
6.58,0.1098,0.0026,,,,,,,,,,,,,,,
6.6,0.1102,0.0023,,,,,,,,,,,,,,,
6.62,0.1104,0.0022,,,,,,,,,,,,,,,
6.64,0.1108,0.004,,,,,,,,,,,,,,,
6.66,0.111,0.0035,,,,,,,,,,,,,,,
6.68,0.1115,0.0024,,,,,,,,,,,,,,,
6.7,0.1119,0.0029,,,,,,,,,,,,,,,
6.72,0.1121,0.0022,,,,,,,,,,,,,,,
6.74,0.1125,0.0031,,,,,,,,,,,,,,,
6.76,0.1129,0.0019,,,,,,,,,,,,,,,
6.78,0.1131,0.0021,,,,,,,,,,,,,,,
6.8,0.1135,0.0028,,,,,,,,,,,,,,,
6.82,0.1137,0.0028,,,,,,,,,,,,,,,
6.84,0.1142,0.0021,,,,,,,,,,,,,,,
6.86,0.1144,0.0024,,,,,,,,,,,,,,,
6.88,0.1148,0.0024,,,,,,,,,,,,,,,
6.9,0.1152,0.0038,,,,,,,,,,,,,,,
6.92,0.1154,0.003,,,,,,,,,,,,,,,
6.94,0.1156,0.0027,,,,,,,,,,,,,,,
6.96,0.116,0.0024,,,,,,,,,,,,,,,
6.98,0.1165,0.0027,,,,,,,,,,,,,,,
7,0.1167,0.0032,,,,,,,,,,,,,,,
7.02,0.1169,0.0028,,,,,,,,,,,,,,,
7.04,0.1173,0.0026,,,,,,,,,,,,,,,
7.06,0.1175,0.0026,,,,,,,,,,,,,,,
7.08,0.1179,0.0035,,,,,,,,,,,,,,,
7.1,0.1181,0.0019,,,,,,,,,,,,,,,
7.12,0.1185,0.0028,,,,,,,,,,,,,,,
7.14,0.1187,0.0029,,,,,,,,,,,,,,,
7.16,0.1192,0.0032,,,,,,,,,,,,,,,
7.18,0.1194,0.004,,,,,,,,,,,,,,,
7.2,0.1198,0.0009,,,,,,,,,,,,,,,
7.22,0.12,0.003,,,,,,,,,,,,,,,
7.24,0.1204,0.0037,,,,,,,,,,,,,,,
7.26,0.1208,0.0025,,,,,,,,,,,,,,,
7.28,0.121,0.0036,,,,,,,,,,,,,,,
7.3,0.1215,0.0022,,,,,,,,,,,,,,,
7.32,0.1217,0.0027,,,,,,,,,,,,,,,
7.34,0.1221,0.0039,,,,,,,,,,,,,,,
7.36,0.1225,0.0031,,,,,,,,,,,,,,,
7.38,0.1227,0.0019,,,,,,,,,,,,,,,
7.4,0.1231,0.0032,,,,,,,,,,,,,,,
7.42,0.1233,0.0023,,,,,,,,,,,,,,,
7.44,0.1237,0.0025,,,,,,,,,,,,,,,
7.46,0.1242,0.0025,,,,,,,,,,,,,,,
7.48,0.1244,0.0028,,,,,,,,,,,,,,,
7.5,0.1248,0.0027,,,,,,,,,,,,,,,
7.52,0.125,0.0018,,,,,,,,,,,,,,,
7.54,0.1254,0.0027,,,,,,,,,,,,,,,
7.56,0.1258,0.0032,,,,,,,,,,,,,,,
7.58,0.126,0.0031,,,,,,,,,,,,,,,
7.6,0.1265,0.0034,,,,,,,,,,,,,,,
7.62,0.1267,0.0032,,,,,,,,,,,,,,,
7.64,0.1271,0.0027,,,,,,,,,,,,,,,
7.66,0.1275,0.0036,,,,,,,,,,,,,,,
7.68,0.1277,0.0023,,,,,,,,,,,,,,,
7.7,0.1279,0.0022,,,,,,,,,,,,,,,
7.72,0.1283,0.0029,,,,,,,,,,,,,,,
7.74,0.1287,0.0024,,,,,,,,,,,,,,,
7.76,0.1292,0.0028,,,,,,,,,,,,,,,
7.78,0.1294,0.0028,,,,,,,,,,,,,,,
7.8,0.1298,0.0018,,,,,,,,,,,,,,,
7.82,0.1302,0.0033,,,,,,,,,,,,,,,
7.84,0.1304,0.0036,,,,,,,,,,,,,,,
7.86,0.1308,0.0022,,,,,,,,,,,,,,,
7.88,0.1312,0.0033,,,,,,,,,,,,,,,
7.9,0.1315,0.0016,,,,,,,,,,,,,,,
7.92,0.1319,0.0028,,,,,,,,,,,,,,,
7.94,0.1323,0.0042,,,,,,,,,,,,,,,
7.96,0.1325,0.0013,,,,,,,,,,,,,,,
7.98,0.1329,0.0032,,,,,,,,,,,,,,,
8,0.1331,0.0036,,,,,,,,,,,,,,,
8.02,0.1335,0.0032,,,,,,,,,,,,,,,
8.04,0.134,0.0033,,,,,,,,,,,,,,,
8.06,0.1342,0.0025,,,,,,,,,,,,,,,
8.08,0.1346,0.0044,,,,,,,,,,,,,,,
8.1,0.1348,0.0037,,,,,,,,,,,,,,,
8.12,0.1352,0.0022,,,,,,,,,,,,,,,
8.14,0.1356,0.0028,,,,,,,,,,,,,,,
8.16,0.1358,0.0043,,,,,,,,,,,,,,,
8.18,0.1362,0.0042,,,,,,,,,,,,,,,
8.2,0.1365,0.0016,,,,,,,,,,,,,,,
8.22,0.1369,0.0026,,,,,,,,,,,,,,,
8.24,0.1373,0.0049,,,,,,,,,,,,,,,
8.26,0.1375,0.0034,,,,,,,,,,,,,,,
8.28,0.1379,0.002,,,,,,,,,,,,,,,
8.3,0.1383,0.0027,,,,,,,,,,,,,,,
8.32,0.1387,0.0036,,,,,,,,,,,,,,,
8.34,0.139,0.002,,,,,,,,,,,,,,,
8.36,0.1394,0.0036,,,,,,,,,,,,,,,
8.38,0.1398,0.0037,,,,,,,,,,,,,,,
8.4,0.14,0.0022,,,,,,,,,,,,,,,
8.42,0.1404,0.0036,,,,,,,,,,,,,,,
8.44,0.1406,0.0025,,,,,,,,,,,,,,,
8.46,0.141,0.0037,,,,,,,,,,,,,,,
8.48,0.1415,0.0034,,,,,,,,,,,,,,,
8.5,0.1417,0.0022,,,,,,,,,,,,,,,
8.52,0.1421,0.0037,,,,,,,,,,,,,,,
8.54,0.1425,0.0044,,,,,,,,,,,,,,,
8.56,0.1429,0.0025,,,,,,,,,,,,,,,
8.58,0.1433,0.0036,,,,,,,,,,,,,,,
8.6,0.1435,0.0036,,,,,,,,,,,,,,,
8.62,0.144,0.0036,,,,,,,,,,,,,,,
8.64,0.1442,0.0038,,,,,,,,,,,,,,,
8.66,0.1446,0.0024,,,,,,,,,,,,,,,
8.68,0.145,0.0024,,,,,,,,,,,,,,,
8.7,0.1452,0.0026,,,,,,,,,,,,,,,
8.72,0.1454,0.0026,,,,,,,,,,,,,,,
8.74,0.1458,0.0037,,,,,,,,,,,,,,,
8.76,0.1462,0.0026,,,,,,,,,,,,,,,
8.78,0.1465,0.003,,,,,,,,,,,,,,,
8.8,0.1469,0.0034,,,,,,,,,,,,,,,
8.82,0.1471,0.0032,,,,,,,,,,,,,,,
8.84,0.1475,0.0034,,,,,,,,,,,,,,,
8.86,0.1477,0.0033,,,,,,,,,,,,,,,
8.88,0.1481,0.0036,,,,,,,,,,,,,,,
8.9,0.1483,0.0036,,,,,,,,,,,,,,,
8.92,0.1487,0.0022,,,,,,,,,,,,,,,
8.94,0.149,0.003,,,,,,,,,,,,,,,
8.96,0.1494,0.0029,,,,,,,,,,,,,,,
8.98,0.1496,0.0026,,,,,,,,,,,,,,,
9,0.15,0.0021,,,,,,,,,,,,,,,
9.02,0.1504,0.0037,,,,,,,,,,,,,,,
9.04,0.1506,0.0023,,,,,,,,,,,,,,,
9.06,0.151,0.002,,,,,,,,,,,,,,,
9.08,0.1512,0.0044,,,,,,,,,,,,,,,
9.1,0.1517,0.0028,,,,,,,,,,,,,,,
9.12,0.1521,0.0046,,,,,,,,,,,,,,,
9.14,0.1523,0.0034,,,,,,,,,,,,,,,
9.16,0.1527,0.0027,,,,,,,,,,,,,,,
9.18,0.1529,0.0038,,,,,,,,,,,,,,,
9.2,0.1533,0.0025,,,,,,,,,,,,,,,
9.22,0.1537,0.0031,,,,,,,,,,,,,,,
9.24,0.154,0.0033,,,,,,,,,,,,,,,
9.26,0.1544,0.003,,,,,,,,,,,,,,,
9.28,0.1546,0.0039,,,,,,,,,,,,,,,
