Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
3.52,0.0585,0.0016,,,,,,,,,,,,,,,
3.54,0.0587,0.0038,,,,,,,,,,,,,,,
3.56,0.0592,0.002,,,,,,,,,,,,,,,
3.58,0.0594,0.0012,,,,,,,,,,,,,,,
3.6,0.0598,0.0024,,,,,,,,,,,,,,,
3.62,0.0602,0.001,,,,,,,,,,,,,,,
3.64,0.0604,0.0019,,,,,,,,,,,,,,,
3.66,0.0608,0.0015,,,,,,,,,,,,,,,
3.68,0.0612,0.0014,,,,,,,,,,,,,,,
3.7,0.0615,0.0015,,,,,,,,,,,,,,,
3.72,0.0619,0.0025,,,,,,,,,,,,,,,
3.74,0.0621,0.0019,,,,,,,,,,,,,,,
3.76,0.0625,0.0031,,,,,,,,,,,,,,,
3.78,0.0629,0.0029,,,,,,,,,,,,,,,
3.8,0.0631,0.0021,,,,,,,,,,,,,,,
3.82,0.0635,0.0025,,,,,,,,,,,,,,,
3.84,0.0637,0.0015,,,,,,,,,,,,,,,
3.86,0.0642,0.0016,,,,,,,,,,,,,,,
3.88,0.0646,0.0025,,,,,,,,,,,,,,,
3.9,0.0648,0.0025,,,,,,,,,,,,,,,
3.92,0.0652,0.0027,,,,,,,,,,,,,,,
3.94,0.0654,0.0022,,,,,,,,,,,,,,,
3.96,0.0658,0.0017,,,,,,,,,,,,,,,
3.98,0.0662,0.004,,,,,,,,,,,,,,,
4,0.0667,0.0019,,,,,,,,,,,,,,,
4.02,0.0669,0.0037,,,,,,,,,,,,,,,
4.04,0.0673,0.0029,,,,,,,,,,,,,,,
