Time,Displacement,Force,,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,,
3.48,0.0583,0.0003,,,,,,,,,,,,,,,,,,,
3.5,0.0585,0.0002,,,,,,,,,,,,,,,,,,,
3.52,0.059,0.0011,,,,,,,,,,,,,,,,,,,
3.54,0.0592,0,,,,,,,,,,,,,,,,,,,
3.56,0.0594,0.001,,,,,,,,,,,,,,,,,,,
3.58,0.0598,0.0007,,,,,,,,,,,,,,,,,,,
3.6,0.0602,-0.0003,,,,,,,,,,,,,,,,,,,
3.62,0.0604,0.0002,,,,,,,,,,,,,,,,,,,
3.64,0.0606,0.0003,,,,,,,,,,,,,,,,,,,
3.66,0.061,0.0007,,,,,,,,,,,,,,,,,,,
3.68,0.0615,0.0012,,,,,,,,,,,,,,,,,,,
3.7,0.0617,0.0009,,,,,,,,,,,,,,,,,,,
3.72,0.0621,-0.0003,,,,,,,,,,,,,,,,,,,
3.74,0.0625,0.0006,,,,,,,,,,,,,,,,,,,
3.76,0.0627,0.0009,,,,,,,,,,,,,,,,,,,
3.78,0.0629,-0.0004,,,,,,,,,,,,,,,,,,,
3.8,0.0633,0.0012,,,,,,,,,,,,,,,,,,,
3.82,0.0637,-0.0005,,,,,,,,,,,,,,,,,,,
3.84,0.064,0.0014,,,,,,,,,,,,,,,,,,,
3.86,0.0644,0.0017,,,,,,,,,,,,,,,,,,,
3.88,0.0648,0.0008,,,,,,,,,,,,,,,,,,,
3.9,0.065,0.0008,,,,,,,,,,,,,,,,,,,
3.92,0.0654,0.0001,,,,,,,,,,,,,,,,,,,
3.94,0.0658,0.0007,,,,,,,,,,,,,,,,,,,
3.96,0.0662,0.001,,,,,,,,,,,,,,,,,,,
3.98,0.0665,0.0008,,,,,,,,,,,,,,,,,,,
4,0.0669,-0.0006,,,,,,,,,,,,,,,,,,,
4.02,0.0671,0.0009,,,,,,,,,,,,,,,,,,,
4.04,0.0675,0.0002,,,,,,,,,,,,,,,,,,,
4.06,0.0677,-0.0002,,,,,,,,,,,,,,,,,,,
4.08,0.0681,0.0012,,,,,,,,,,,,,,,,,,,
4.1,0.0685,0.0008,,,,,,,,,,,,,,,,,,,
4.12,0.0687,0.0014,,,,,,,,,,,,,,,,,,,
4.14,0.069,0.0005,,,,,,,,,,,,,,,,,,,
4.16,0.0694,0.0016,,,,,,,,,,,,,,,,,,,
4.18,0.0696,0.0012,,,,,,,,,,,,,,,,,,,
4.2,0.07,0.0001,,,,,,,,,,,,,,,,,,,
4.22,0.0702,0.002,,,,,,,,,,,,,,,,,,,
4.24,0.0706,0.0007,,,,,,,,,,,,,,,,,,,
4.26,0.0708,0.0009,,,,,,,,,,,,,,,,,,,
4.28,0.0712,0.0022,,,,,,,,,,,,,,,,,,,
4.3,0.0717,0.0009,,,,,,,,,,,,,,,,,,,
4.32,0.0719,0.0003,,,,,,,,,,,,,,,,,,,
4.34,0.0723,0.0006,,,,,,,,,,,,,,,,,,,
4.36,0.0727,0.0002,,,,,,,,,,,,,,,,,,,
4.38,0.0729,0.001,,,,,,,,,,,,,,,,,,,
4.4,0.0731,0.0004,,,,,,,,,,,,,,,,,,,
4.42,0.0735,0.0009,,,,,,,,,,,,,,,,,,,
4.44,0.074,0.0004,,,,,,,,,,,,,,,,,,,
4.46,0.0744,0.0005,,,,,,,,,,,,,,,,,,,
4.48,0.0746,0.0006,,,,,,,,,,,,,,,,,,,
4.5,0.075,0.0019,,,,,,,,,,,,,,,,,,,
4.52,0.0752,0.001,,,,,,,,,,,,,,,,,,,
4.54,0.0756,-0.0002,,,,,,,,,,,,,,,,,,,
4.56,0.0758,0.0017,,,,,,,,,,,,,,,,,,,
4.58,0.0762,-0.0001,,,,,,,,,,,,,,,,,,,
4.6,0.0765,0.0005,,,,,,,,,,,,,,,,,,,
4.62,0.0769,-0.0002,,,,,,,,,,,,,,,,,,,
4.64,0.0773,0.0012,,,,,,,,,,,,,,,,,,,
4.66,0.0775,0.0017,,,,,,,,,,,,,,,,,,,
4.68,0.0779,0.0001,,,,,,,,,,,,,,,,,,,
4.7,0.0781,0.0005,,,,,,,,,,,,,,,,,,,
4.72,0.0785,0.0001,,,,,,,,,,,,,,,,,,,
4.74,0.079,0.0002,,,,,,,,,,,,,,,,,,,
4.76,0.0792,0.0002,,,,,,,,,,,,,,,,,,,
4.78,0.0796,0.0002,,,,,,,,,,,,,,,,,,,
4.8,0.08,0.0017,,,,,,,,,,,,,,,,,,,
4.82,0.0802,0.0014,,,,,,,,,,,,,,,,,,,
4.84,0.0806,0.0003,,,,,,,,,,,,,,,,,,,
4.86,0.0808,0.0016,,,,,,,,,,,,,,,,,,,
4.88,0.0812,0.0018,,,,,,,,,,,,,,,,,,,
4.9,0.0815,-0.0008,,,,,,,,,,,,,,,,,,,
4.92,0.0817,0.0007,,,,,,,,,,,,,,,,,,,
4.94,0.0823,0.0022,,,,,,,,,,,,,,,,,,,
4.96,0.0825,0.0013,,,,,,,,,,,,,,,,,,,
4.98,0.0829,0.0014,,,,,,,,,,,,,,,,,,,
5,0.0831,0.0008,,,,,,,,,,,,,,,,,,,
5.02,0.0835,0.0005,,,,,,,,,,,,,,,,,,,
5.04,0.0837,0.0013,,,,,,,,,,,,,,,,,,,
5.06,0.0842,0,,,,,,,,,,,,,,,,,,,
5.08,0.0846,0.0021,,,,,,,,,,,,,,,,,,,
5.1,0.085,0.0006,,,,,,,,,,,,,,,,,,,
5.12,0.0852,-0.0012,,,,,,,,,,,,,,,,,,,
5.14,0.0856,0.0016,,,,,,,,,,,,,,,,,,,
5.16,0.086,0.0012,,,,,,,,,,,,,,,,,,,
5.18,0.0862,0.0008,,,,,,,,,,,,,,,,,,,
5.2,0.0867,0.0004,,,,,,,,,,,,,,,,,,,
5.22,0.0871,0.0009,,,,,,,,,,,,,,,,,,,
5.24,0.0875,0.0005,,,,,,,,,,,,,,,,,,,
5.26,0.0879,0.0012,,,,,,,,,,,,,,,,,,,
5.28,0.0881,0.0002,,,,,,,,,,,,,,,,,,,
5.3,0.0885,0.0008,,,,,,,,,,,,,,,,,,,
5.32,0.0887,0.0001,,,,,,,,,,,,,,,,,,,
5.34,0.0892,0,,,,,,,,,,,,,,,,,,,
5.36,0.0894,0.0014,,,,,,,,,,,,,,,,,,,
5.38,0.0898,-0.0002,,,,,,,,,,,,,,,,,,,
5.4,0.0902,0.0009,,,,,,,,,,,,,,,,,,,
5.42,0.0904,0.0012,,,,,,,,,,,,,,,,,,,
5.44,0.0908,0.0008,,,,,,,,,,,,,,,,,,,
5.46,0.0912,0.0008,,,,,,,,,,,,,,,,,,,
5.48,0.0915,0.0001,,,,,,,,,,,,,,,,,,,
5.5,0.0919,0.0013,,,,,,,,,,,,,,,,,,,
5.52,0.0923,0.0017,,,,,,,,,,,,,,,,,,,
5.54,0.0925,-0.0005,,,,,,,,,,,,,,,,,,,
5.56,0.0929,0.0006,,,,,,,,,,,,,,,,,,,
5.58,0.0931,0.0019,,,,,,,,,,,,,,,,,,,
5.6,0.0935,0.0006,,,,,,,,,,,,,,,,,,,
5.62,0.094,0.0008,,,,,,,,,,,,,,,,,,,
5.64,0.0942,0.0013,,,,,,,,,,,,,,,,,,,
5.66,0.0946,0.0013,,,,,,,,,,,,,,,,,,,
5.68,0.095,0.0009,,,,,,,,,,,,,,,,,,,
5.7,0.0954,-0.0002,,,,,,,,,,,,,,,,,,,
5.72,0.0956,0.0007,,,,,,,,,,,,,,,,,,,
5.74,0.096,0.0019,,,,,,,,,,,,,,,,,,,
5.76,0.0962,0.0009,,,,,,,,,,,,,,,,,,,
5.78,0.0967,0.0015,,,,,,,,,,,,,,,,,,,
5.8,0.0971,0.0019,,,,,,,,,,,,,,,,,,,
5.82,0.0973,0,,,,,,,,,,,,,,,,,,,
5.84,0.0975,0.0013,,,,,,,,,,,,,,,,,,,
5.86,0.0979,0.0007,,,,,,,,,,,,,,,,,,,
5.88,0.0981,0.0012,,,,,,,,,,,,,,,,,,,
5.9,0.0985,0.0006,,,,,,,,,,,,,,,,,,,
5.92,0.099,0.001,,,,,,,,,,,,,,,,,,,
5.94,0.0992,0.0022,,,,,,,,,,,,,,,,,,,
5.96,0.0994,0.0005,,,,,,,,,,,,,,,,,,,
5.98,0.0998,0.0012,,,,,,,,,,,,,,,,,,,
6,0.1002,0.0017,,,,,,,,,,,,,,,,,,,
6.02,0.1004,0.0014,,,,,,,,,,,,,,,,,,,
6.04,0.1008,0,,,,,,,,,,,,,,,,,,,
6.06,0.101,0.0014,,,,,,,,,,,,,,,,,,,
6.08,0.1015,0.0013,,,,,,,,,,,,,,,,,,,
6.1,0.1019,0,,,,,,,,,,,,,,,,,,,
6.12,0.1021,0.0008,,,,,,,,,,,,,,,,,,,
6.14,0.1025,0.0004,,,,,,,,,,,,,,,,,,,
6.16,0.1027,0.0025,,,,,,,,,,,,,,,,,,,
6.18,0.1031,0.0018,,,,,,,,,,,,,,,,,,,
6.2,0.1035,0.0005,,,,,,,,,,,,,,,,,,,
6.22,0.1037,0.0018,,,,,,,,,,,,,,,,,,,
6.24,0.1042,0.0005,,,,,,,,,,,,,,,,,,,
6.26,0.1044,0.0008,,,,,,,,,,,,,,,,,,,
6.28,0.1048,0.0018,,,,,,,,,,,,,,,,,,,
6.3,0.1052,0.0005,,,,,,,,,,,,,,,,,,,
6.32,0.1054,0.0003,,,,,,,,,,,,,,,,,,,
6.34,0.1058,0.0011,,,,,,,,,,,,,,,,,,,
6.36,0.1062,0.0018,,,,,,,,,,,,,,,,,,,
6.38,0.1065,0.0013,,,,,,,,,,,,,,,,,,,
6.4,0.1069,0.0001,,,,,,,,,,,,,,,,,,,
6.42,0.1071,0.0006,,,,,,,,,,,,,,,,,,,
6.44,0.1075,0.0015,,,,,,,,,,,,,,,,,,,
6.46,0.1079,0.0016,,,,,,,,,,,,,,,,,,,
6.48,0.1081,0.0009,,,,,,,,,,,,,,,,,,,
6.5,0.1083,0.0019,,,,,,,,,,,,,,,,,,,
6.52,0.1087,0.0012,,,,,,,,,,,,,,,,,,,
6.54,0.109,0.002,,,,,,,,,,,,,,,,,,,
6.56,0.1094,0.0015,,,,,,,,,,,,,,,,,,,
6.58,0.1096,0.0012,,,,,,,,,,,,,,,,,,,
6.6,0.11,0.0019,,,,,,,,,,,,,,,,,,,
6.62,0.1102,-0.0006,,,,,,,,,,,,,,,,,,,
6.64,0.1104,0.0014,,,,,,,,,,,,,,,,,,,
6.66,0.1108,0.0019,,,,,,,,,,,,,,,,,,,
6.68,0.1112,0.0003,,,,,,,,,,,,,,,,,,,
6.7,0.1115,0.0019,,,,,,,,,,,,,,,,,,,
6.72,0.1119,0.0001,,,,,,,,,,,,,,,,,,,
6.74,0.1123,0.0006,,,,,,,,,,,,,,,,,,,
6.76,0.1125,0.0017,,,,,,,,,,,,,,,,,,,
6.78,0.1129,0.0014,,,,,,,,,,,,,,,,,,,
6.8,0.1131,0.0003,,,,,,,,,,,,,,,,,,,
6.82,0.1135,0.0007,,,,,,,,,,,,,,,,,,,
